3143302;Montes Claros;MG;409341;-43.865422;-16.722707;/wiki/Montes_Claros
1200401;Rio Branco;AC;407319;-67.810529;-9.978299;/wiki/Rio_Branco
3538709;Piracicaba;SP;404142;-47.646846;-22.723722;/wiki/Piracicaba
3510609;Carapicuíba;SP;400927;-46.841445;-23.535250;/wiki/Carapicu%C3%ADba
1400100;Boa Vista;RR;399213;-60.670533;2.816682;/wiki/Boa_Vista_(Roraima)
2609600;Olinda;PE;392482;-34.861310;-7.992660;/wiki/Olinda
5201108;Anápolis;GO;386923;-48.957218;-16.328826;/wiki/An%C3%A1polis
3201308;Cariacica;ES;381285;-40.390559;-20.294678;/wiki/Cariacica
3506003;Bauru;SP;376818;-49.083001;-22.325123;/wiki/Bauru
3523107;Itaquaquecetuba;SP;370821;-46.351603;-23.476898;/wiki/Itaquaquecetuba
3551009;São Vicente;SP;365798;-46.384491;-23.967373;/wiki/S%C3%A3o_Vicente_(S%C3%A3o_Paulo)
3205309;Vitória;ES;362097;-40.322209;-20.320154;/wiki/Vit%C3%B3ria_(Esp%C3%ADrito_Santo)
2303709;Caucaia;CE;361400;-38.664018;-3.736487;/wiki/Caucaia
2604106;Caruaru;PE;361118;-35.967073;-8.285898;/wiki/Caruaru
4202404;Blumenau;SC;357199;-49.057631;-26.916108;/wiki/Blumenau
3516200;Franca;SP;353187;-47.402332;-20.536097;/wiki/Franca
4119905;Ponta Grossa;PR;351736;-50.161442;-25.092547;/wiki/Ponta_Grossa
2611101;Petrolina;PE;349145;-40.499999;-9.397376;/wiki/Petrolina
4304606;Canoas;RS;346616;-51.181030;-29.918697;/wiki/Canoas
4314407;Pelotas;RS;342405;-52.344320;-31.719598;/wiki/Pelotas
2933307;Vitória da Conquista;BA;341597;-40.839810;-14.848005;/wiki/Vit%C3%B3ria_da_Conquista
3154606;Ribeirão das Neves;MG;334858;-44.085824;-19.766022;/wiki/Ribeir%C3%A3o_das_Neves
3170107;Uberaba;MG;333783;-47.983625;-19.713535;/wiki/Uberaba
2610707;Paulista;PE;331774;-34.884792;-7.943188;/wiki/Paulista_(Pernambuco)
4104808;Cascavel;PR;328454;-53.459722;-24.953798;/wiki/Cascavel_(Paran%C3%A1)
3541000;Praia Grande;SP;325073;-46.412050;-24.003022;/wiki/Praia_Grande_(S%C3%A3o_Paulo)
4125506;São José dos Pinhais;PR;323340;-49.200082;-25.537702;/wiki/S%C3%A3o_Jos%C3%A9_dos_Pinhais
3518701;Guarujá;SP;320459;-46.249034;-23.995149;/wiki/Guaruj%C3%A1
3554102;Taubaté;SP;314924;-45.556609;-23.026556;/wiki/Taubat%C3%A9
3303906;Petrópolis;RJ;306191;-43.177337;-22.510599;/wiki/Petr%C3%B3polis
3526902;Limeira;SP;306114;-47.401940;-22.562194;/wiki/Limeira
1506807;Santarém;PA;304589;-54.718570;-2.436213;/wiki/Santar%C3%A9m_(Par%C3%A1)
2905701;Camaçari;BA;299132;-38.325740;-12.698817;/wiki/Cama%C3%A7ari
1721000;Palmas;TO;299127;-48.351044;-10.163253;/wiki/Palmas
3552502;Suzano;SP;297637;-46.307810;-23.536828;/wiki/Suzano
2408003;Mossoró;RN;297378;-37.356874;-5.193801;/wiki/Mossor%C3%B3
3552809;Taboão da Serra;SP;289664;-46.785780;-23.623329;/wiki/Tabo%C3%A3o_da_Serra
5108402;Várzea Grande;MT;284971;-56.144664;-15.658065;/wiki/V%C3%A1rzea_Grande_(Mato_Grosso)
3552403;Sumaré;SP;282441;-47.265803;-22.822145;/wiki/Sumar%C3%A9
4316907;Santa Maria;RS;282123;-53.808675;-29.685582;/wiki/Santa_Maria_(Rio_Grande_do_Sul)
4309209;Gravataí;RS;281519;-50.990793;-29.945519;/wiki/Gravata%C3%AD
3127701;Governador Valadares;MG;279885;-41.947081;-18.852882;/wiki/Governador_Valadares
1504208;Marabá;PA;279349;-49.142025;-5.352606;/wiki/Marab%C3%A1
2307304;Juazeiro do Norte;CE;274207;-39.316993;-7.210766;/wiki/Juazeiro_do_Norte
3505708;Barueri;SP;274182;-46.874653;-23.508902;/wiki/Barueri
3515004;Embu das Artes;SP;273726;-46.850860;-23.647313;/wiki/Embu_das_Artes
3306305;Volta Redonda;RJ;273012;-44.093522;-22.509968;/wiki/Volta_Redonda
3131307;Ipatinga;MG;263410;-42.520351;-19.481032;/wiki/Ipatinga
2403251;Parnamirim;RN;261469;-35.259209;-5.910370;/wiki/Parnamirim_(Rio_Grande_do_Norte)
2105302;Imperatriz;MA;258682;-47.479811;-5.526524;/wiki/Imperatriz_(Maranh%C3%A3o)
4108304;Foz do Iguaçu;PR;258532;-54.587102;-25.542493;/wiki/Foz_do_Igua%C3%A7u
3302403;Macaé;RJ;256672;-41.775064;-22.368705;/wiki/Maca%C3%A9
4323002;Viamão;RS;255224;-51.024820;-30.081897;/wiki/Viam%C3%A3o
3548906;São Carlos;SP;251983;-47.889238;-22.015999;/wiki/S%C3%A3o_Carlos_(S%C3%A3o_Paulo)
3520509;Indaiatuba;SP;251627;-47.212309;-23.081646;/wiki/Indaiatuba
3513009;Cotia;SP;249210;-46.931846;-23.603514;/wiki/Cotia
4313409;Novo Hamburgo;RS;246748;-51.128605;-29.686326;/wiki/Novo_Hamburgo
4216602;São José;SC;246586;-48.616023;-27.590312;/wiki/S%C3%A3o_Jos%C3%A9_(Santa_Catarina)
3302502;Magé;RJ;245071;-43.040246;-22.654349;/wiki/Mag%C3%A9
4105805;Colombo;PR;243726;-49.227438;-25.294340;/wiki/Colombo_(Paran%C3%A1)
3301900;Itaboraí;RJ;240592;-42.860343;-22.745863;/wiki/Itabora%C3%AD
3167202;Sete Lagoas;MG;239639;-44.239595;-19.458287;/wiki/Sete_Lagoas
3501608;Americana;SP;239597;-47.330363;-22.740884;/wiki/Americana
3529005;Marília;SP;238882;-49.951646;-22.214933;/wiki/Mar%C3%ADlia
3122306;Divinópolis;MG;238230;-44.893886;-20.142074;/wiki/Divin%C3%B3polis
3522505;Itapevi;SP;237700;-46.933373;-23.546934;/wiki/Itapevi
4318705;São Leopoldo;RS;236835;-51.146235;-29.765867;/wiki/S%C3%A3o_Leopoldo
3503208;Araraquara;SP;236072;-48.174440;-21.790360;/wiki/Araraquara
5218805;Rio Verde;GO;235647;-50.929681;-17.794543;/wiki/Rio_Verde
3524402;Jacareí;SP;233662;-45.969593;-23.304880;/wiki/Jacare%C3%AD
5107602;Rondonópolis;MT;232491;-54.633587;-16.470163;/wiki/Rondon%C3%B3polis
2700300;Arapiraca;AL;231747;-36.657297;-9.755907;/wiki/Arapiraca
3519071;Hortolândia;SP;230851;-47.221097;-22.858395;/wiki/Hortol%C3%A2ndia
3541406;Presidente Prudente;SP;228743;-51.386766;-22.122744;/wiki/Presidente_Prudente
2307650;Maracanaú;CE;227886;-38.624419;-3.876964;/wiki/Maracana%C3%BA
5003702;Dourados;MS;222949;-54.811289;-22.227236;/wiki/Dourados
4204202;Chapecó;SC;220367;-52.617031;-27.106837;/wiki/Chapec%C3%B3
3300704;Cabo Frio;RJ;219863;-42.020075;-22.880765;/wiki/Cabo_Frio
4208203;Itajaí;SC;219536;-48.657023;-26.907426;/wiki/Itaja%C3%AD
