77;2611101;Petrolina;PE;349145;/wiki/Petrolina
78;4304606;Canoas;RS;346616;/wiki/Canoas
79;4314407;Pelotas;RS;342405;/wiki/Pelotas
80;2933307;Vitória da Conquista;BA;341597;/wiki/Vit%C3%B3ria_da_Conquista
81;3154606;Ribeirão das Neves;MG;334858;/wiki/Ribeir%C3%A3o_das_Neves
82;3170107;Uberaba;MG;333783;/wiki/Uberaba
83;2610707;Paulista;PE;331774;/wiki/Paulista_(Pernambuco)
84;4104808;Cascavel;PR;328454;/wiki/Cascavel_(Paran%C3%A1)
85;3541000;Praia Grande;SP;325073;/wiki/Praia_Grande_(S%C3%A3o_Paulo)
86;4125506;São José dos Pinhais;PR;323340;/wiki/S%C3%A3o_Jos%C3%A9_dos_Pinhais
87;3518701;Guarujá;SP;320459;/wiki/Guaruj%C3%A1
88;3554102;Taubaté;SP;314924;/wiki/Taubat%C3%A9
89;3303906;Petrópolis;RJ;306191;/wiki/Petr%C3%B3polis
90;3526902;Limeira;SP;306114;/wiki/Limeira
91;1506807;Santarém;PA;304589;/wiki/Santar%C3%A9m_(Par%C3%A1)
92;2905701;Camaçari;BA;299132;/wiki/Cama%C3%A7ari
93;1721000;Palmas;TO;299127;/wiki/Palmas
94;3552502;Suzano;SP;297637;/wiki/Suzano
95;2408003;Mossoró;RN;297378;/wiki/Mossor%C3%B3
96;3552809;Taboão da Serra;SP;289664;/wiki/Tabo%C3%A3o_da_Serra
97;5108402;Várzea Grande;MT;284971;/wiki/V%C3%A1rzea_Grande_(Mato_Grosso)
98;3552403;Sumaré;SP;282441;/wiki/Sumar%C3%A9
99;4316907;Santa Maria;RS;282123;/wiki/Santa_Maria_(Rio_Grande_do_Sul)
100;4309209;Gravataí;RS;281519;/wiki/Gravata%C3%AD
101;3127701;Governador Valadares;MG;279885;/wiki/Governador_Valadares
102;1504208;Marabá;PA;279349;/wiki/Marab%C3%A1
103;2307304;Juazeiro do Norte;CE;274207;/wiki/Juazeiro_do_Norte
104;3505708;Barueri;SP;274182;/wiki/Barueri
105;3515004;Embu das Artes;SP;273726;/wiki/Embu_das_Artes
106;3306305;Volta Redonda;RJ;273012;/wiki/Volta_Redonda
107;3131307;Ipatinga;MG;263410;/wiki/Ipatinga
108;2403251;Parnamirim;RN;261469;/wiki/Parnamirim_(Rio_Grande_do_Norte)
109;2105302;Imperatriz;MA;258682;/wiki/Imperatriz_(Maranh%C3%A3o)
110;4108304;Foz do Iguaçu;PR;258532;/wiki/Foz_do_Igua%C3%A7u
111;3302403;Macaé;RJ;256672;/wiki/Maca%C3%A9
112;4323002;Viamão;RS;255224;/wiki/Viam%C3%A3o
113;3548906;São Carlos;SP;251983;/wiki/S%C3%A3o_Carlos_(S%C3%A3o_Paulo)
114;3520509;Indaiatuba;SP;251627;/wiki/Indaiatuba
115;3513009;Cotia;SP;249210;/wiki/Cotia
116;4313409;Novo Hamburgo;RS;246748;/wiki/Novo_Hamburgo
117;4216602;São José;SC;246586;/wiki/S%C3%A3o_Jos%C3%A9_(Santa_Catarina)
118;3302502;Magé;RJ;245071;/wiki/Mag%C3%A9
119;4105805;Colombo;PR;243726;/wiki/Colombo_(Paran%C3%A1)
120;3301900;Itaboraí;RJ;240592;/wiki/Itabora%C3%AD
121;3167202;Sete Lagoas;MG;239639;/wiki/Sete_Lagoas
122;3501608;Americana;SP;239597;/wiki/Americana
123;3529005;Marília;SP;238882;/wiki/Mar%C3%ADlia
124;3122306;Divinópolis;MG;238230;/wiki/Divin%C3%B3polis
125;3522505;Itapevi;SP;237700;/wiki/Itapevi
126;4318705;São Leopoldo;RS;236835;/wiki/S%C3%A3o_Leopoldo
127;3503208;Araraquara;SP;236072;/wiki/Araraquara
128;5218805;Rio Verde;GO;235647;/wiki/Rio_Verde
129;3524402;Jacareí;SP;233662;/wiki/Jacare%C3%AD
130;5107602;Rondonópolis;MT;232491;/wiki/Rondon%C3%B3polis
131;2700300;Arapiraca;AL;231747;/wiki/Arapiraca
132;3519071;Hortolândia;SP;230851;/wiki/Hortol%C3%A2ndia
133;3541406;Presidente Prudente;SP;228743;/wiki/Presidente_Prudente
134;2307650;Maracanaú;CE;227886;/wiki/Maracana%C3%BA
135;5003702;Dourados;MS;222949;/wiki/Dourados
136;4204202;Chapecó;SC;220367;/wiki/Chapec%C3%B3
137;3300704;Cabo Frio;RJ;219863;/wiki/Cabo_Frio
138;4208203;Itajaí;SC;219536;/wiki/Itaja%C3%AD
139;3157807;Santa Luzia;MG;219134;/wiki/Santa_Luzia_(Minas_Gerais)
140;2918407;Juazeiro;BA;216707;/wiki/Juazeiro_(Bahia)
141;4204608;Criciúma;SC;215186;/wiki/Crici%C3%BAma
142;2914802;Itabuna;BA;213223;/wiki/Itabuna
143;5200258;Águas Lindas de Goiás;GO;212440;/wiki/%C3%81guas_Lindas_de_Goi%C3%A1s
144;4315602;Rio Grande;RS;211005;/wiki/Rio_Grande_(Rio_Grande_do_Sul)
145;4300604;Alvorada;RS;210305;/wiki/Alvorada_(Rio_Grande_do_Sul)
146;3201209;Cachoeiro de Itapemirim;ES;208972;/wiki/Cachoeiro_de_Itapemirim
147;2312908;Sobral;CE;208935;/wiki/Sobral_(Cear%C3%A1)
148;5212501;Luziânia;GO;208299;/wiki/Luzi%C3%A2nia
149;1505536;Parauapebas;PA;208273;/wiki/Parauapebas
150;2602902;Cabo de Santo Agostinho;PE;207048;/wiki/Cabo_de_Santo_Agostinho
151;3543907;Rio Claro;SP;206424;/wiki/Rio_Claro_(S%C3%A3o_Paulo)
152;3300100;Angra dos Reis;RJ;203785;/wiki/Angra_dos_Reis
153;4314100;Passo Fundo;RS;203275;/wiki/Passo_Fundo
154;1502400;Castanhal;PA;200793;/wiki/Castanhal
155;2919207;Lauro de Freitas;BA;198440;/wiki/Lauro_de_Freitas
156;3502804;Araçatuba;SP;197016;/wiki/Ara%C3%A7atuba
157;3515707;Ferraz de Vasconcelos;SP;194276;/wiki/Ferraz_de_Vasconcelos
158;3545803;Santa Bárbara d'Oeste;SP;193475;/wiki/Santa_B%C3%A1rbara_d%27Oeste
159;3303401;Nova Friburgo;RJ;190631;/wiki/Nova_Friburgo
160;3300407;Barra Mansa;RJ;184412;/wiki/Barra_Mansa
161;2804805;Nossa Senhora do Socorro;SE;183628;/wiki/Nossa_Senhora_do_Socorro
162;3305802;Teresópolis;RJ;182594;/wiki/Teres%C3%B3polis
163;4109401;Guarapuava;PR;181504;/wiki/Guarapuava
164;1702109;Araguaína;TO;180470;/wiki/Aragua%C3%ADna
165;3129806;Ibirité;MG;180204;/wiki/Ibirit%C3%A9
166;4208906;Jaraguá do Sul;SC;177697;/wiki/Jaragu%C3%A1_do_Sul
167;2111201;São José de Ribamar;MA;177687;/wiki/S%C3%A3o_Jos%C3%A9_de_Ribamar
168;3302858;Mesquita;RJ;176103;/wiki/Mesquita_(Rio_de_Janeiro)
169;3516309;Francisco Morato;SP;175844;/wiki/Francisco_Morato
170;3522208;Itapecerica da Serra;SP;175693;/wiki/Itapecerica_da_Serra
171;3523909;Itu;SP;173939;/wiki/Itu
172;3203205;Linhares;ES;173555;/wiki/Linhares_(Esp%C3%ADrito_Santo)
173;4211900;Palhoça;SC;171797;/wiki/Palho%C3%A7a
174;2112209;Timon;MA;169107;/wiki/Timon
175;3507605;Bragança Paulista;SP;168668;/wiki/Bragan%C3%A7a_Paulista
176;5221858;Valparaíso de Goiás;GO;168468;/wiki/Valpara%C3%ADso_de_Goi%C3%A1s
177;3538006;Pindamonhangaba;SP;168328;/wiki/Pindamonhangaba
178;3151800;Poços de Caldas;MG;167397;/wiki/Po%C3%A7os_de_Caldas
179;2103000;Caxias;MA;164880;/wiki/Caxias_(Maranh%C3%A3o)
180;3522307;Itapetininga;SP;163901;/wiki/Itapetininga
181;3303203;Nilópolis;RJ;162485;/wiki/Nil%C3%B3polis
182;2913606;Ilhéus;BA;162327;/wiki/Ilh%C3%A9us
183;3302700;Maricá;RJ;161207;/wiki/Maric%C3%A1
184;3548807;São Caetano do Sul;SP;161127;/wiki/S%C3%A3o_Caetano_do_Sul
185;2931350;Teixeira de Freitas;BA;160487;/wiki/Teixeira_de_Freitas
186;2603454;Camaragibe;PE;157828;/wiki/Camaragibe
187;1500107;Abaetetuba;PA;157698;/wiki/Abaetetuba
188;4209300;Lages;SC;157544;/wiki/Lages
189;2918001;Jequié;BA;155966;/wiki/Jequi%C3%A9
190;2903201;Barreiras;BA;155439;/wiki/Barreiras
191;4118204;Paranaguá;PR;154936;/wiki/Paranagu%C3%A1
192;3516408;Franco da Rocha;SP;154489;/wiki/Franco_da_Rocha
193;2207702;Parnaíba;PI;153078;/wiki/Parna%C3%ADba
194;3148004;Patos de Minas;MG;152488;/wiki/Patos_de_Minas
195;3530706;Mogi Guaçu;SP;151888;/wiki/Mogi_Gua%C3%A7u
196;2900702;Alagoinhas;BA;151596;/wiki/Alagoinhas
197;3152501;Pouso Alegre;MG;150737;/wiki/Pouso_Alegre
198;3304524;Rio das Ostras;RJ;150674;/wiki/Rio_das_Ostras
199;3304144;Queimados;RJ;150319;/wiki/Queimados
200;3525300;Jaú;SP;150252;/wiki/Ja%C3%BA
201;2925303;Porto Seguro;BA;148686;/wiki/Porto_Seguro
202;3507506;Botucatu;SP;146497;/wiki/Botucatu
