84;Cascavel (Paraná);PR;328454;/wiki/Cascavel_(Paran%C3%A1)
85;Praia Grande (São Paulo);SP;325073;/wiki/Praia_Grande_(S%C3%A3o_Paulo)
86;São José dos Pinhais;PR;323340;/wiki/S%C3%A3o_Jos%C3%A9_dos_Pinhais
87;Guarujá;SP;320459;/wiki/Guaruj%C3%A1
88;Taubaté;SP;314924;/wiki/Taubat%C3%A9
89;Petrópolis;RJ;306191;/wiki/Petr%C3%B3polis
90;Limeira;SP;306114;/wiki/Limeira
91;Santarém (Pará);PA;304589;/wiki/Santar%C3%A9m_(Par%C3%A1)
92;Camaçari;BA;299132;/wiki/Cama%C3%A7ari
93;Palmas;TO;299127;/wiki/Palmas
94;Suzano;SP;297637;/wiki/Suzano
95;Mossoró;RN;297378;/wiki/Mossor%C3%B3
96;Taboão da Serra;SP;289664;/wiki/Tabo%C3%A3o_da_Serra
97;Várzea Grande (Mato Grosso);MT;284971;/wiki/V%C3%A1rzea_Grande_(Mato_Grosso)
98;Sumaré;SP;282441;/wiki/Sumar%C3%A9
99;Santa Maria (Rio Grande do Sul);RS;282123;/wiki/Santa_Maria_(Rio_Grande_do_Sul)
100;Gravataí;RS;281519;/wiki/Gravata%C3%AD
101;Governador Valadares;MG;279885;/wiki/Governador_Valadares
102;Marabá;PA;279349;/wiki/Marab%C3%A1
103;Juazeiro do Norte;CE;274207;/wiki/Juazeiro_do_Norte
104;Barueri;SP;274182;/wiki/Barueri
105;Embu das Artes;SP;273726;/wiki/Embu_das_Artes
106;Volta Redonda;RJ;273012;/wiki/Volta_Redonda
107;Ipatinga;MG;263410;/wiki/Ipatinga
108;Parnamirim (Rio Grande do Norte);RN;261469;/wiki/Parnamirim_(Rio_Grande_do_Norte)
109;Imperatriz (Maranhão);MA;258682;/wiki/Imperatriz_(Maranh%C3%A3o)
110;Foz do Iguaçu;PR;258532;/wiki/Foz_do_Igua%C3%A7u
111;Macaé;RJ;256672;/wiki/Maca%C3%A9
112;Viamão;RS;255224;/wiki/Viam%C3%A3o
113;São Carlos (São Paulo);SP;251983;/wiki/S%C3%A3o_Carlos_(S%C3%A3o_Paulo)
114;Indaiatuba;SP;251627;/wiki/Indaiatuba
115;Cotia;SP;249210;/wiki/Cotia
116;Novo Hamburgo;RS;246748;/wiki/Novo_Hamburgo
117;São José (Santa Catarina);SC;246586;/wiki/S%C3%A3o_Jos%C3%A9_(Santa_Catarina)
118;Magé;RJ;245071;/wiki/Mag%C3%A9
119;Colombo (Paraná);PR;243726;/wiki/Colombo_(Paran%C3%A1)
120;Itaboraí;RJ;240592;/wiki/Itabora%C3%AD
121;Sete Lagoas;MG;239639;/wiki/Sete_Lagoas
122;Americana;SP;239597;/wiki/Americana
123;Marília;SP;238882;/wiki/Mar%C3%ADlia
124;Divinópolis;MG;238230;/wiki/Divin%C3%B3polis
125;Itapevi;SP;237700;/wiki/Itapevi
126;São Leopoldo;RS;236835;/wiki/S%C3%A3o_Leopoldo
127;Araraquara;SP;236072;/wiki/Araraquara
128;Rio Verde;GO;235647;/wiki/Rio_Verde
129;Jacareí;SP;233662;/wiki/Jacare%C3%AD
130;Rondonópolis;MT;232491;/wiki/Rondon%C3%B3polis
131;Arapiraca;AL;231747;/wiki/Arapiraca
132;Hortolândia;SP;230851;/wiki/Hortol%C3%A2ndia
133;Presidente Prudente;SP;228743;/wiki/Presidente_Prudente
134;Maracanaú;CE;227886;/wiki/Maracana%C3%BA
135;Dourados;MS;222949;/wiki/Dourados
136;Chapecó;SC;220367;/wiki/Chapec%C3%B3
137;Cabo Frio;RJ;219863;/wiki/Cabo_Frio
138;Itajaí;SC;219536;/wiki/Itaja%C3%AD
139;Santa Luzia (Minas Gerais);MG;219134;/wiki/Santa_Luzia_(Minas_Gerais)
140;Juazeiro (Bahia);BA;216707;/wiki/Juazeiro_(Bahia)
141;Criciúma;SC;215186;/wiki/Crici%C3%BAma
142;Itabuna;BA;213223;/wiki/Itabuna
143;Águas Lindas de Goiás;GO;212440;/wiki/%C3%81guas_Lindas_de_Goi%C3%A1s
144;Rio Grande (Rio Grande do Sul);RS;211005;/wiki/Rio_Grande_(Rio_Grande_do_Sul)
145;Alvorada (Rio Grande do Sul);RS;210305;/wiki/Alvorada_(Rio_Grande_do_Sul)
146;Cachoeiro de Itapemirim;ES;208972;/wiki/Cachoeiro_de_Itapemirim
147;Sobral (Ceará);CE;208935;/wiki/Sobral_(Cear%C3%A1)
148;Luziânia;GO;208299;/wiki/Luzi%C3%A2nia
149;Parauapebas;PA;208273;/wiki/Parauapebas
150;Cabo de Santo Agostinho;PE;207048;/wiki/Cabo_de_Santo_Agostinho
151;Rio Claro (São Paulo);SP;206424;/wiki/Rio_Claro_(S%C3%A3o_Paulo)
152;Angra dos Reis;RJ;203785;/wiki/Angra_dos_Reis
153;Passo Fundo;RS;203275;/wiki/Passo_Fundo
154;Castanhal;PA;200793;/wiki/Castanhal
155;Lauro de Freitas;BA;198440;/wiki/Lauro_de_Freitas
156;Araçatuba;SP;197016;/wiki/Ara%C3%A7atuba
157;Ferraz de Vasconcelos;SP;194276;/wiki/Ferraz_de_Vasconcelos
158;Santa Bárbara d'Oeste;SP;193475;/wiki/Santa_B%C3%A1rbara_d%27Oeste
159;Nova Friburgo;RJ;190631;/wiki/Nova_Friburgo
160;Barra Mansa;RJ;184412;/wiki/Barra_Mansa
161;Nossa Senhora do Socorro;SE;183628;/wiki/Nossa_Senhora_do_Socorro
162;Teresópolis;RJ;182594;/wiki/Teres%C3%B3polis
163;Guarapuava;PR;181504;/wiki/Guarapuava
164;Araguaína;TO;180470;/wiki/Aragua%C3%ADna
165;Ibirité;MG;180204;/wiki/Ibirit%C3%A9
166;Jaraguá do Sul;SC;177697;/wiki/Jaragu%C3%A1_do_Sul
167;São José de Ribamar;MA;177687;/wiki/S%C3%A3o_Jos%C3%A9_de_Ribamar
168;Mesquita (Rio de Janeiro);RJ;176103;/wiki/Mesquita_(Rio_de_Janeiro)
169;Francisco Morato;SP;175844;/wiki/Francisco_Morato
170;Itapecerica da Serra;SP;175693;/wiki/Itapecerica_da_Serra
171;Itu;SP;173939;/wiki/Itu
172;Linhares (Espírito Santo);ES;173555;/wiki/Linhares_(Esp%C3%ADrito_Santo)
173;Palhoça;SC;171797;/wiki/Palho%C3%A7a
174;Timon;MA;169107;/wiki/Timon
175;Bragança Paulista;SP;168668;/wiki/Bragan%C3%A7a_Paulista
176;Valparaíso de Goiás;GO;168468;/wiki/Valpara%C3%ADso_de_Goi%C3%A1s
177;Pindamonhangaba;SP;168328;/wiki/Pindamonhangaba
178;Poços de Caldas;MG;167397;/wiki/Po%C3%A7os_de_Caldas
179;Caxias (Maranhão);MA;164880;/wiki/Caxias_(Maranh%C3%A3o)
180;Itapetininga;SP;163901;/wiki/Itapetininga
181;Nilópolis;RJ;162485;/wiki/Nil%C3%B3polis
182;Ilhéus;BA;162327;/wiki/Ilh%C3%A9us
183;Maricá;RJ;161207;/wiki/Maric%C3%A1
184;São Caetano do Sul;SP;161127;/wiki/S%C3%A3o_Caetano_do_Sul
185;Teixeira de Freitas;BA;160487;/wiki/Teixeira_de_Freitas
186;Camaragibe;PE;157828;/wiki/Camaragibe
187;Abaetetuba;PA;157698;/wiki/Abaetetuba
188;Lages;SC;157544;/wiki/Lages
189;Jequié;BA;155966;/wiki/Jequi%C3%A9
190;Barreiras;BA;155439;/wiki/Barreiras
191;Paranaguá;PR;154936;/wiki/Paranagu%C3%A1
192;Franco da Rocha;SP;154489;/wiki/Franco_da_Rocha
193;Parnaíba;PI;153078;/wiki/Parna%C3%ADba
194;Patos de Minas;MG;152488;/wiki/Patos_de_Minas
195;Mogi Guaçu;SP;151888;/wiki/Mogi_Gua%C3%A7u
196;Alagoinhas;BA;151596;/wiki/Alagoinhas
197;Pouso Alegre;MG;150737;/wiki/Pouso_Alegre
198;Rio das Ostras;RJ;150674;/wiki/Rio_das_Ostras
199;Queimados;RJ;150319;/wiki/Queimados
200;Jaú;SP;150252;/wiki/Ja%C3%BA
201;Porto Seguro;BA;148686;/wiki/Porto_Seguro
202;Botucatu;SP;146497;/wiki/Botucatu
203;Araucária (Paraná);PR;143843;/wiki/Arauc%C3%A1ria_(Paran%C3%A1)
204;Sinop;MT;142996;/wiki/Sinop
205;Atibaia;SP;142761;/wiki/Atibaia
206;Balneário Camboriú;SC;142295;/wiki/Balne%C3%A1rio_Cambori%C3%BA
207;Sapucaia do Sul;RS;141075;/wiki/Sapucaia_do_Sul
208;Toledo (Paraná);PR;140635;/wiki/Toledo_(Paran%C3%A1)
209;Teófilo Otoni;MG;140592;/wiki/Te%C3%B3filo_Otoni
